Task name,Status,Assignee,Due,Files & media,Priority,Est Hours,Act Hours,Project,Summary,Tags,Parent-task,Sub-tasks
BRIGHTER For Rent/For Sale,Done,,,,High,,,Branding Package (Baxley%20Consulting%20Projects%20181c2105555149fc97b20744399637af/Branding%20Package%20f304ee00940e4615a12d172fdee4977f.html),24x30 corrugated,,,
Order,Not started,,,,,,,,,,Letterhead (Tasks%20d3c736d0cefe4b1ca795bec0af013934/Letterhead%2003aadb460133482f81b2a713432d299d.html),
Find Prices,Not started,,,,,,,,,,Letterhead (Tasks%20d3c736d0cefe4b1ca795bec0af013934/Letterhead%2003aadb460133482f81b2a713432d299d.html),
,Not started,,,,,,,,,,Letterhead (Tasks%20d3c736d0cefe4b1ca795bec0af013934/Letterhead%2003aadb460133482f81b2a713432d299d.html),
Thank you Card Envelope,Done,Jim Baxley,,https://www.dropbox.com/scl/fo/zvzlj25s0emzzma308mor/h?rlkey=deobf52ybgo17537ds43yv4bh&dl=0,,,,Branding Package (Baxley%20Consulting%20Projects%20181c2105555149fc97b20744399637af/Branding%20Package%20f304ee00940e4615a12d172fdee4977f.html),Match Card,,,
Proposal,In Review,Jim Baxley,"April 4, 2024",,,,,Williams Insurance (Baxley%20Consulting%20Projects%20181c2105555149fc97b20744399637af/Williams%20Insurance%207b1e96cd0d7a47f6a5b98c1db638abce.html),,,,Doc (Tasks%20d3c736d0cefe4b1ca795bec0af013934/Doc%20df0b56f209754cc483c43cb326034393.html)
Doc,Not started,,,,,,,,,,,
Preso,Not started,,,,,,,,,,,
Doc,Done,Laura,"April 4, 2024",,,,,Williams Insurance (Baxley%20Consulting%20Projects%20181c2105555149fc97b20744399637af/Williams%20Insurance%207b1e96cd0d7a47f6a5b98c1db638abce.html),,,Proposal (Tasks%20d3c736d0cefe4b1ca795bec0af013934/Proposal%206c20afe35b6f4803ab8d01e67e86d47b.html),
Send Estimate w T/C,Not started,Jim Baxley,,,,,,Video Edits (Baxley%20Consulting%20Projects%20181c2105555149fc97b20744399637af/Video%20Edits%209a603b4114d949b6add6dc5e9bb4f654.html),,,,
"Log in and verify ",Not started,,,,,,,,,,Google appointment scheduling (Tasks%20d3c736d0cefe4b1ca795bec0af013934/Google%20appointment%20scheduling%205015513117ec4b14b38d2ebc151faf19.html),
Create instructions,Not started,,,,,,,,,,Google appointment scheduling (Tasks%20d3c736d0cefe4b1ca795bec0af013934/Google%20appointment%20scheduling%205015513117ec4b14b38d2ebc151faf19.html),
Create vendor form,Not started,,,,,,,,,,create Vendor response process (Tasks%20d3c736d0cefe4b1ca795bec0af013934/create%20Vendor%20response%20process%20030dfe6de6df427abcdec98bcf4aa0ab.html),
create auto response process for vendors,Not started,,,,,,,,,,create Vendor response process (Tasks%20d3c736d0cefe4b1ca795bec0af013934/create%20Vendor%20response%20process%20030dfe6de6df427abcdec98bcf4aa0ab.html),
Content creation,Not started,,,,,5,,,,,Weekly Content Program (Tasks%20d3c736d0cefe4b1ca795bec0af013934/Weekly%20Content%20Program%20d0fec353c51b4b95b6ae4921de377a62.html),
Newsletter process,Not started,,,,,6,,,,,Weekly Content Program (Tasks%20d3c736d0cefe4b1ca795bec0af013934/Weekly%20Content%20Program%20d0fec353c51b4b95b6ae4921de377a62.html),
Blog Process and hosting,Not started,,,,,8,,,,,Weekly Content Program (Tasks%20d3c736d0cefe4b1ca795bec0af013934/Weekly%20Content%20Program%20d0fec353c51b4b95b6ae4921de377a62.html),
Distribution Process,Not started,,,,,8,,,,,Weekly Content Program (Tasks%20d3c736d0cefe4b1ca795bec0af013934/Weekly%20Content%20Program%20d0fec353c51b4b95b6ae4921de377a62.html),
Acorn & Oak,Not started,Jim Baxley,,,,,,,,,Shop competitors  (Tasks%20d3c736d0cefe4b1ca795bec0af013934/Shop%20competitors%2032cf1b86224e4b11bf5e0dc8e2561722.html),"Renter (Tasks%20d3c736d0cefe4b1ca795bec0af013934/Renter%200b9a793c4d5f4ca5b023e704c6ac13d3.html), Owner (Tasks%20d3c736d0cefe4b1ca795bec0af013934/Owner%2097e0fce45d894632b9a14cb0f0f4828f.html)"
Renter,Not started,,,,,,,,,,Acorn & Oak (Tasks%20d3c736d0cefe4b1ca795bec0af013934/Acorn%20&%20Oak%206b7b6346166e412a998a6cf52b7d31da.html),
Owner,Not started,,,,,,,,,,Acorn & Oak (Tasks%20d3c736d0cefe4b1ca795bec0af013934/Acorn%20&%20Oak%206b7b6346166e412a998a6cf52b7d31da.html),
"Henry Property Management ",Not started,Jim Baxley,,,,,,,,,Shop competitors  (Tasks%20d3c736d0cefe4b1ca795bec0af013934/Shop%20competitors%2032cf1b86224e4b11bf5e0dc8e2561722.html),"Renter (Tasks%20d3c736d0cefe4b1ca795bec0af013934/Renter%20417e8df392cd40b18839ff47cfb41bd9.html), Owner (Tasks%20d3c736d0cefe4b1ca795bec0af013934/Owner%202968a9df874848c1a83fe49e06659581.html)"
Renter,Not started,,,,,,,,,,Henry Property Management  (Tasks%20d3c736d0cefe4b1ca795bec0af013934/Henry%20Property%20Management%20ca836a82527f4e6c899b6e4e6b15802d.html),
Owner,Not started,,,,,,,,,,Henry Property Management  (Tasks%20d3c736d0cefe4b1ca795bec0af013934/Henry%20Property%20Management%20ca836a82527f4e6c899b6e4e6b15802d.html),
Fairfax PM,Not started,,,,,,,,,,Shop competitors  (Tasks%20d3c736d0cefe4b1ca795bec0af013934/Shop%20competitors%2032cf1b86224e4b11bf5e0dc8e2561722.html),"Renter (Tasks%20d3c736d0cefe4b1ca795bec0af013934/Renter%207a5d1b05b7f6479ea8f6945d632c3fed.html), Owner (Tasks%20d3c736d0cefe4b1ca795bec0af013934/Owner%20eefc86481b5447e58c89f8b1b902a573.html)"
Property Firm,Not started,Jim Baxley,,,,2,,,,,Shop competitors  (Tasks%20d3c736d0cefe4b1ca795bec0af013934/Shop%20competitors%2032cf1b86224e4b11bf5e0dc8e2561722.html),"Renter (Tasks%20d3c736d0cefe4b1ca795bec0af013934/Renter%20df605660840646258ad472f33ca501c8.html), Owner (Tasks%20d3c736d0cefe4b1ca795bec0af013934/Owner%20415740c515524f3596f2db03dd7ace23.html)"
Renter,Not started,,,,,,,,,,Fairfax PM (Tasks%20d3c736d0cefe4b1ca795bec0af013934/Fairfax%20PM%2065c8223ed3614c098b1588da902593ad.html),
Owner,Not started,,,,,,,,,,Fairfax PM (Tasks%20d3c736d0cefe4b1ca795bec0af013934/Fairfax%20PM%2065c8223ed3614c098b1588da902593ad.html),
Renter,Not started,,,,,,,,,,Property Firm (Tasks%20d3c736d0cefe4b1ca795bec0af013934/Property%20Firm%205679e525775841bbbb4a15e525a5b7ef.html),
Owner,Not started,,,,,,,,,,Property Firm (Tasks%20d3c736d0cefe4b1ca795bec0af013934/Property%20Firm%205679e525775841bbbb4a15e525a5b7ef.html),
Meet in Zebulon,Not started,,"May 24, 2024",,,,,Increase Traffic at store (Baxley%20Consulting%20Projects%20181c2105555149fc97b20744399637af/Increase%20Traffic%20at%20store%209fb9c190e61c4585a6edeee6760187f4.html),,,,
